City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
580,mpongwe,-13.5091,28.155,291.07,5,5,1.05,ZM,1688920487
581,vallenar,-28.5708,-70.7581,294.31,100,100,1.57,CL,1688920488
582,orsta,62.2029,6.1272,299.25,99,99,1.66,NO,1688920488
583,luocheng,29.3848,104.0286,299.3,49,49,0.68,CN,1688920488
584,nadi,-17.8,177.4167,294.15,75,75,0.0,FJ,1688920488
585,belo sur tsiribihina,-19.7,44.55,293.58,3,3,1.38,MG,1688920488
586,santa rosa,14.3122,121.1114,302.14,96,96,0.97,PH,1688920489
587,okha,53.5739,142.9478,284.6,57,57,3.35,RU,1688920336
588,souillac,-20.5167,57.5167,296.36,75,75,4.63,MU,1688920489
589,ifrane,33.3333,-5.25,305.0,86,86,2.73,MA,1688920489
590,galveston,29.3669,-94.9669,308.72,40,40,6.69,US,1688920489
591,khulm,36.6974,67.6983,303.73,13,13,1.72,AF,1688920490
592,chake chake,-5.2459,39.7666,296.27,72,72,3.41,TZ,1688920490
593,jiangzi,28.95,89.6333,286.08,96,96,2.85,CN,1688920490
594,novyy turtkul',41.55,61.0167,303.1,0,0,4.68,UZ,1688920490
595,magadan,59.5667,150.8,285.67,100,100,1.74,RU,1688920490
596,nagtipunan,16.2167,121.6,296.52,8,8,0.55,PH,1688920491
597,soufriere,13.8562,-61.0566,303.96,20,20,10.29,LC,1688920491
598,kralendijk,12.15,-68.2667,304.14,75,75,10.29,BQ,1688920491
